time_s,ecg_mv
0.0,0.00935
0.004,0.0147
0.008,0.0003
0.012,-0.001
0.016,-0.00619
0.02,-0.00147
0.024,0.00945
0.028,0.00326
0.032,-0.00769
0.036,0.00896
0.04,0.01454
0.044,0.00301
0.048,0.022
0.052,0.016
0.056,0.00518
0.06,0.0143
0.064,-0.02147
0.068,0.00754
0.072,0.03433
0.076,0.02106
0.08,-0.00158
0.084,0.0065
0.088,0.00067
0.092,-0.00135
0.096,0.00703
0.1,0.00397
0.104,-0.00566
0.108,0.00985
0.112,-0.01491
0.116,0.0359
0.12,0.01958
0.124,0.01369
0.128,0.04069
0.132,0.01593
0.136,0.01682
0.14,0.02747
0.144,0.02326
0.148,-0.02263
0.152,-0.00179
0.156,0.00959
0.16,0.01446
0.164,0.0102
0.168,0.00569
0.172,0.02752
0.176,0.01579
0.18,0.01177
0.184,0.03453
0.188,0.01666
0.192,0.03518
0.196,0.02559
0.2,0.01256
0.204,-0.00802
0.208,0.01441
0.212,0.03943
0.216,0.02141
0.22,0.00634
0.224,0.00619
0.228,0.01563
0.232,0.01527
0.236,0.02011
0.24,0.01421
0.244,0.04336
0.248,0.03595
0.252,0.00435
0.256,0.04503
0.26,0.01764
0.264,0.02442
0.268,0.0095
0.272,0.01905
0.276,0.00784
0.28,0.0304
0.284,0.01269
0.288,0.02601
0.292,0.02309
0.296,0.01726
0.3,0.03344
0.304,0.02959
0.308,0.03669
0.312,0.03949
0.316,0.03492
0.32,0.02532
0.324,0.03729
0.328,0.01216
0.332,0.0277
0.336,0.03323
0.34,0.02566
0.344,0.0178
0.348,0.0287
0.352,0.02332
0.356,0.05825
0.36,0.03762
0.364,0.00657
0.368,0.03771
0.372,0.01876
0.376,0.01912
0.38,0.03403
0.384,0.04199
0.388,0.05398
0.392,0.04932
0.396,0.04631
0.4,0.05384
0.404,0.07353
0.408,0.05479
0.412,0.0683
0.416,0.06752
0.42,0.08373
0.424,0.1125
0.428,0.11426
0.432,0.12137
0.436,0.10584
0.44,0.13073
0.444,0.10876
0.448,0.1066
0.452,0.09162
0.456,0.08754
0.46,0.10491
0.464,0.0807
0.468,0.10043
0.472,0.0841
0.476,0.07404
0.48,0.044
0.484,0.04876
0.488,0.03152
0.492,0.05912
0.496,0.05514
0.5,0.04925
0.504,0.0628
0.508,0.04672
0.512,0.04148
0.516,0.046
0.52,0.01733
0.524,0.0236
0.528,0.04148
0.532,0.04365
0.536,0.06095
0.54,0.03362
0.544,0.0333
0.548,0.05454
0.552,0.03518
0.556,0.03871
0.56,0.0218
0.564,0.0434
0.568,0.01357
0.572,-0.0407
0.576,-0.06349
0.58,0.00821
0.584,0.15475
0.588,0.38177
0.592,0.75684
0.596,1.08947
0.6,1.2172
0.604,1.05588
0.608,0.69684
0.612,0.2979
0.616,0.00692
0.62,-0.1482
0.624,-0.19131
0.628,-0.16403
