time_s,ecg_mv
0.0,0.00474
0.004,0.00826
0.008,0.02507
0.012,-0.01651
0.016,-0.00143
0.02,-0.00409
0.024,0.00537
0.028,0.00866
0.032,-0.02017
0.036,0.01926
0.04,-0.0076
0.044,-0.00762
0.048,0.00892
0.052,0.00701
0.056,0.01574
0.06,-0.01162
0.064,0.0017
0.068,-0.00286
0.072,-0.00446
0.076,0.02019
0.08,0.02032
0.084,0.02336
0.088,-0.01129
0.092,0.00685
0.096,0.00399
0.1,-0.00305
0.104,-0.00078
0.108,-0.01174
0.112,0.00606
0.116,0.00942
0.12,0.0001
0.124,0.02028
0.128,0.00736
0.132,0.02224
0.136,0.01722
0.14,0.00959
0.144,0.02833
0.148,0.02443
0.152,0.00261
0.156,0.01902
0.16,0.02817
0.164,0.012
0.168,0.00801
0.172,0.01716
0.176,0.01759
0.18,0.02045
0.184,0.03557
0.188,0.03324
0.192,-0.0028
0.196,0.01065
0.2,0.0329
0.204,0.02228
0.208,0.03675
0.212,0.02265
0.216,0.0055
0.22,0.02383
0.224,0.03091
0.228,-0.00157
0.232,0.02218
0.236,0.02059
0.24,0.0317
0.244,0.00016
0.248,0.03038
0.252,0.03414
0.256,0.02834
0.26,0.03129
0.264,0.0163
0.268,0.04942
0.272,0.03139
0.276,0.0272
0.28,0.03871
0.284,0.01014
0.288,0.04079
0.292,0.0158
0.296,0.02729
0.3,0.04111
0.304,0.02617
0.308,0.04436
0.312,0.02031
0.316,0.03134
0.32,0.03226
0.324,0.03226
0.328,0.03634
0.332,0.04461
0.336,0.03058
0.34,0.02598
0.344,0.03831
0.348,0.02507
0.352,0.03708
0.356,0.04484
0.36,0.03053
0.364,0.04178
0.368,0.0402
0.372,0.03984
0.376,0.01239
0.38,0.0093
0.384,0.05221
0.388,0.01627
0.392,0.03892
0.396,0.04846
0.4,0.0381
0.404,0.05967
0.408,0.04678
0.412,0.06417
0.416,0.08319
0.42,0.10186
0.424,0.09717
0.428,0.09789
0.432,0.11784
0.436,0.12897
0.44,0.12175
0.444,0.10732
0.448,0.11393
0.452,0.09315
0.456,0.10868
0.46,0.10741
0.464,0.07275
0.468,0.06427
0.472,0.0695
0.476,0.06404
0.48,0.05476
0.484,0.07575
0.488,0.06538
0.492,0.02148
0.496,0.02254
0.5,0.02061
0.504,0.04867
0.508,0.07226
0.512,0.05216
0.516,0.0482
0.52,0.04474
0.524,0.02876
0.528,0.05297
0.532,0.04842
0.536,0.02715
0.54,0.04324
0.544,0.03212
0.548,0.04107
0.552,0.03315
0.556,0.04057
0.56,0.03231
0.564,0.00902
0.568,-0.00085
0.572,-0.02265
0.576,-0.0512
0.58,-0.00841
0.584,0.15187
0.588,0.39479
0.592,0.74754
0.596,1.09421
0.6,1.19946
0.604,1.05991
0.608,0.67915
0.612,0.27232
0.616,-0.01131
0.62,-0.16014
0.624,-0.17413
0.628,-0.17801
0.632,-0.08851
0.636,-0.02149
0.64,-0.02022
0.644,0.02313
0.648,0.04047
0.652,0.01389
0.656,0.05049
0.66,0.04674
