time_s,ecg_mv
0.0,0.00092
0.004,0.00518
0.008,-0.01088
0.012,0.02061
0.016,0.00018
0.02,0.01488
0.024,-0.00218
0.028,0.00376
0.032,-0.00989
0.036,-0.00053
0.04,0.00965
0.044,-0.01814
0.048,-0.00358
0.052,0.00246
0.056,0.00249
0.06,-0.02509
0.064,-0.0001
0.068,-0.00425
0.072,-0.00842
0.076,0.00349
0.08,0.0165
0.084,-0.01012
0.088,-0.00033
0.092,-0.00286
0.096,0.00035
0.1,0.02142
0.104,0.01031
0.108,0.01886
0.112,0.02059
0.116,0.00056
0.12,-0.01586
0.124,0.02729
0.128,0.00516
0.132,0.01902
0.136,-0.00045
0.14,0.03381
0.144,0.00846
0.148,0.00432
0.152,0.00775
0.156,0.01109
0.16,0.0105
0.164,0.00941
0.168,0.0263
0.172,-0.00752
0.176,0.02789
0.18,0.04355
0.184,0.02471
0.188,-0.0023
0.192,0.00375
0.196,0.0197
0.2,0.00261
0.204,0.02818
0.208,0.00368
0.212,0.01085
0.216,0.02604
0.22,0.02971
0.224,0.02276
0.228,0.04104
0.232,0.04294
0.236,0.03964
0.24,0.0062
0.244,0.0102
0.248,0.02247
0.252,0.03132
0.256,0.02668
0.26,0.03948
0.264,0.02452
0.268,0.0127
0.272,0.04992
0.276,0.03482
0.28,0.03954
0.284,0.03436
0.288,0.03758
0.292,0.04122
0.296,0.03525
0.3,0.01838
0.304,0.03299
0.308,0.04443
0.312,0.02159
0.316,0.00415
0.32,0.03035
0.324,0.02503
0.328,0.03039
0.332,0.04681
0.336,0.02733
0.34,0.02119
0.344,0.03318
0.348,0.00792
0.352,0.03674
0.356,0.03917
0.36,0.02806
0.364,0.04189
0.368,0.03837
0.372,0.04839
0.376,0.03939
0.38,0.02536
0.384,0.03926
0.388,0.05167
0.392,0.05542
0.396,0.05886
0.4,0.06094
0.404,0.05749
0.408,0.06851
0.412,0.06888
0.416,0.08831
0.42,0.09452
0.424,0.09965
0.428,0.11443
0.432,0.13336
0.436,0.12039
0.44,0.12647
0.444,0.10955
0.448,0.10683
0.452,0.09062
0.456,0.08715
0.46,0.09295
0.464,0.07034
0.468,0.08329
0.472,0.08054
0.476,0.06973
0.48,0.05355
0.484,0.06261
0.488,0.05155
0.492,0.05116
0.496,0.03166
0.5,0.01477
0.504,0.05476
0.508,0.03499
0.512,0.0465
0.516,0.0514
0.52,0.06865
0.524,0.05113
0.528,0.03488
0.532,0.05165
0.536,0.03804
0.54,0.04484
0.544,0.05152
0.548,0.03253
0.552,0.03843
0.556,0.04633
0.56,0.03494
0.564,0.0104
0.568,-0.00243
0.572,-0.03106
0.576,-0.0242
0.58,0.00968
0.584,0.13804
0.588,0.37155
0.592,0.74595
0.596,1.0995
0.6,1.21653
0.604,1.0686
0.608,0.68518
0.612,0.28175
0.616,0.00151
0.62,-0.15445
0.624,-0.20212
0.628,-0.15321
0.632,-0.10411
0.636,-0.04393
0.64,0.00145
0.644,-0.00834
0.648,0.03578
0.652,0.04336
0.656,0.03397
0.66,0.07474
0.664,0.05389
0.668,0.02614
0.672,0.03886
0.676,0.04382
0.68,0.04422
0.684,0.06308
0.688,0.06905
0.692,0.07471
0.696,0.07531
0.7,0.08298
0.704,0.08547
0.708,0.12475
0.712,0.10948
0.716,0.13067
0.72,0.15767
0.724,0.15599
0.728,0.1676
0.732,0.19197
0.736,0.22544
0.74,0.23029
0.744,0.26713
0.748,0.3043
0.752,0.30052
0.756,0.31908
0.76,0.34799
0.764,0.35135
0.768,0.33318
0.772,0.35092
0.776,0.35686
0.78,0.32026
0.784,0.32479
0.788,0.30804
0.792,0.26258
0.796,0.23765
0.8,0.2478
0.804,0.22578
0.808,0.19016
0.812,0.18263
0.816,0.18628
