time_s,ecg_mv
0.0,0.00114
0.004,-0.01885
0.008,0.02022
0.012,0.00381
0.016,0.00539
0.02,0.00463
0.024,0.00758
0.028,0.01792
0.032,0.01112
0.036,0.00675
0.04,0.00465
0.044,0.00968
0.048,0.01101
0.052,0.02202
0.056,0.00196
0.06,-0.0132
0.064,0.02774
0.068,0.0086
0.072,-0.00393
0.076,-0.00528
0.08,0.01105
0.084,0.0092
0.088,0.00058
0.092,0.02946
0.096,0.00446
0.1,0.00394
0.104,0.01166
0.108,0.02299
0.112,0.00452
0.116,0.0165
0.12,-0.00345
0.124,0.0179
0.128,0.02971
0.132,0.00467
0.136,0.00871
0.14,0.02526
0.144,-0.00831
0.148,-0.00488
0.152,0.01717
0.156,0.02547
0.16,0.03407
0.164,0.01094
0.168,0.01047
0.172,0.02418
0.176,0.00469
0.18,0.00427
0.184,0.01546
0.188,0.02276
0.192,0.01864
0.196,0.02465
0.2,0.01856
0.204,0.0304
0.208,0.00761
0.212,0.03165
0.216,0.01924
0.22,0.01695
0.224,0.0153
0.228,0.01136
0.232,0.03275
0.236,0.02146
0.24,0.00922
0.244,0.02582
0.248,0.02078
0.252,0.02647
0.256,0.00383
0.26,0.01138
0.264,0.01726
0.268,0.02426
0.272,0.03926
0.276,0.01635
0.28,0.05131
0.284,0.02054
0.288,0.02845
0.292,0.02038
0.296,0.03242
0.3,0.0263
0.304,0.01605
0.308,0.04382
0.312,0.0172
0.316,0.01732
0.32,0.03175
0.324,0.02399
0.328,0.0133
0.332,-0.00611
0.336,0.02865
0.34,0.02795
0.344,0.03593
0.348,0.03058
0.352,0.04489
0.356,0.02441
0.36,0.02956
0.364,0.05325
0.368,0.01977
0.372,0.04169
0.376,0.0429
0.38,0.04443
0.384,0.03351
0.388,0.04095
0.392,0.03322
0.396,0.05482
0.4,0.05487
0.404,0.07606
0.408,0.04466
0.412,0.08047
0.416,0.08344
0.42,0.08296
0.424,0.09363
0.428,0.10553
0.432,0.09425
0.436,0.11742
0.44,0.10897
